t=50;t=150;t=700;t=1000
-0.020389838;0;0;0
-0.021326547;0;0;0
-0.05252238;0;0;0
-0.053077061;0;0;0
-0.082388637;0;0;0
-0.083837779;0;0;0
-0.068053748;0;0;0
-0.032260859;0;0;0
-0.042863704;0;0;0
-0.057461836;0;0;0
-0.030530114;0;0;0
-0.042851569;0;0;0
-0.041242949;0;0;0
0.001665386;0;0;0
0.047096627;0;0;0
0.030720716;0;0;0
0.009201288;0;0;0
0.000827419;0;0;0
-0.025359283;0;0;0
-0.057708517;0;0;0
-0.054462709;0;0;0
-0.06013215;0;0;0
-0.08290682;0;0;0
-0.08102595;0;0;0
-0.085437804;0;0;0
-0.106570955;0;0;0
-0.108456647;0;0;0
-0.10263344;0;0;0
-0.062242456;0;0;0
-0.049462806;0;0;0
-0.038965969;0;0;0
-0.021329661;0;0;0
-0.00998323;0;0;0
0.010919837;0;0;0
0.020305268;0;0;0
-0.019967383;0;0;0
-0.058476773;0;0;0
-0.091459382;0.190950944;0;0
-0.109199493;0.205668984;0;0
-0.079440257;0.202236748;0;0
-0.03809194;0.2333802;0;0
-0.050780726;0.27871323;0;0
-0.013894736;0.208754898;0;0
-0.017901105;0.22897082;0;0
-0.049143947;0.225720955;0;0
-0.027223358;0.174825016;0;0
-0.001593524;0.172266003;0;0
0.068198956;0.189461695;0;0
0.057628998;0.249990886;0;0
0.05602782;0.221107365;0;0
0.022250661;0.196346815;0;0
0.053269188;0.206336476;0;0
0.064909902;0.232526825;0;0
0.049422512;0.226871933;0;0
0.051503055;0.182459718;0;0
0.035776173;0.15006771;0;0
0.027399076;0.179143178;0;0
0.019992616;0.173568942;0;0
0.046594874;0.12582821;0;0
0.056512098;0.112652893;0;0
0.063919505;0.15935758;0;0
0.076900724;0.206504107;0;0
0.079792;0.177415857;0;0
0.08299692;0.159256253;0;0
0.062303823;0.158946896;0;0
0.076455442;0.165648786;0;0
0.075083547;0.079425007;0;0
0.089983147;0.052458053;0;0
0.139037088;0.049871879;0;0
0.174691259;0.094552365;0;0
0.184877886;0.117783228;0;0
0.173003603;0.125714822;0;0
0.188949388;0.131738298;0;0
0.202381649;0.118349012;0;0
0.22244414;0.115497369;0;0
0.242980795;0.126293824;0;0
0.204605475;0.137696906;0;0
0.175672342;0.141682652;0;0
0.147571589;0.133637079;0;0
0.204371492;0.08331592;0;0
0.224441493;0.090404401;0;0
0.22832491;0.106901582;0;0
0.236819964;0.11271978;0;0
0.267770461;0.104950433;0;0
0.25362279;0.089804091;0;0
0.224454;0.104195314;0;0
0.248279672;0.087830504;0;0
0.230016661;0.071744208;0;0
0.300292632;0.080421672;0;0
0.288526473;0.074168443;0;0
0.248560235;0.090384061;0;0
0.274242524;0.086117072;0;0
0.223143551;0.057383067;0;0
0.240724894;0.027811029;0;0
0.236632491;0.012158009;0;0
0.249025263;0.017591324;0;0
0.232456848;-0.016910373;0;0
0.204473306;-0.053295963;0;0
0.17895371;-0.073441132;0;0
0.198047366;-0.097546241;0;0
0.196395855;-0.117603017;0;0
0.135824039;-0.041158309;0;0
0.13665148;-0.0900977;0;0
0.147636156;-0.099031179;0;0
0.209641545;-0.166537689;0;0
0.219607972;-0.300396367;0;0
0.228940743;-0.318545712;0;0
0.217957751;-0.316185167;0;0
0.19833679;-0.312901518;0;0
0.180634277;-0.274474456;0;0
0.144039346;-0.200108706;0;0
0.132930289;-0.225788126;0;0
0.1238036;-0.220399846;0;0
0.111295327;-0.20430025;0;0
0.121627393;-0.212126369;0;0
0.111260743;-0.203341095;0;0
0.115098375;-0.210097323;0;0
0.12611146;-0.203728912;0;0
