dt=50;dt=150;dt=700;dt=2000
0.1499953;0.2770386;0.4329132;0.3729467
0.1503976;0.2768046;0.4342389;0.3743848
0.1511187;0.2763992;0.4356;0.3759006
0.1515676;0.2762613;0.4370361;0.3774796
0.1521839;0.2760779;0.4384232;0.3790317
0.1529258;0.2758257;0.4397681;0.3805708
0.1538244;0.2756107;0.4410432;0.3820636
0.1545199;0.2753528;0.4421786;0.383584
0.1550593;0.2750027;0.4433797;0.3850785
0.1555202;0.274504;0.4445795;0.3865731
0.1557217;0.2742327;0.4458352;0.3880398
0.1560338;0.2740161;0.4470611;0.3895452
0.1566467;0.273895;0.4483065;0.3909804
0.1573243;0.2738532;0.4495653;0.3923958
0.1578989;0.2739215;0.450893;0.3938162
0.1583366;0.2740259;0.4521212;0.395265
0.1588151;0.2741826;0.4533555;0.3965981
0.1593075;0.2744723;0.4545999;0.3979405
0.1599892;0.2748142;0.4558551;0.3993223
0.160804;0.2750817;0.4571409;0.4006907
0.1615048;0.2755809;0.4584406;0.4020478
0.1620914;0.2760448;0.4599125;0.4034786
0.1625408;0.2764543;0.4612825;0.4049264
0.1631669;0.2768629;0.4627258;0.406387
0.1639165;0.2772855;0.4642059;0.4078398
0.1646251;0.277584;0.465662;0.4092617
0.1652391;0.2778813;0.4670862;0.4107581
0.1658101;0.2781876;0.4685248;0.4122081
0.1662717;0.2783908;0.4699316;0.4136399
0.1665626;0.2785842;0.471257;0.4151616
0.1669498;0.2788429;0.4726318;0.4166461
0.1675097;0.2788957;0.4738606;0.4181416
0.1678863;0.2789434;0.4751097;0.419563
0.1682926;0.2788155;0.4765276;0.4209395
0.1687179;0.2786071;0.478004;0.4224348
0.1690207;0.2783479;0.4795154;0.4238734
0.1693524;0.2782433;0.4809495;0.4253398
0.1698457;0.2781285;0.4823066;0.4268098
0.1702709;0.2780575;0.4838296;0.428203
0.1705886;0.2780213;0.4853564;0.429641
0.1710283;0.2779675;0.4868531;0.4310516
0.1715785;0.2780491;0.4883834;0.4325042
0.17215;0.2780658;0.4899253;0.4339322
0.1728394;0.2780143;0.4913929;0.4352675
0.1733878;0.2779432;0.4928373;0.4365831
0.1740774;0.2777499;0.494347;0.4379421
0.1744941;0.2775563;0.4958646;0.4393321
0.174816;0.2775272;0.4973312;0.4406723
0.175191;0.2775474;0.4987721;0.4420388
0.1758157;0.2774479;0.5001724;0.4433787
0.1760198;0.2773907;0.5016475;0.4447437
0.176192;0.2772497;0.5030223;0.4460326
0.1764868;0.2771241;0.5044123;0.4473386
0.1765064;0.2769394;0.5057918;0.4487064
0.1766613;0.2767325;0.5071799;0.4500181
0.1764729;0.2766441;0.5085334;0.4513609
0.1763194;0.2763705;0.5097705;0.4527267
0.176327;0.2760889;0.5109228;0.4540882
0.1762819;0.2759104;0.5120624;0.4554638
0.1762706;0.2757378;0.5132525;0.456807
0.1761392;0.2758185;0.5145087;0.45811
0.1759428;0.2757282;0.5157535;0.4594399
0.1755654;0.2756901;0.5170264;0.4607109
0.1754551;0.2757559;0.518328;0.4620023
0.1752719;0.2758323;0.5196649;0.4633393
0.1750526;0.2758416;0.5209668;0.4646759
0.174931;0.2757327;0.5222506;0.4660474
0.1748105;0.2756543;0.5234196;0.4673406
0.1747875;0.2756637;0.5246734;0.4686523
0.1746743;0.2756791;0.5259734;0.4699663
0.1745743;0.2756543;0.5272504;0.4712651
0.1742534;0.2759265;0.5284668;0.4725913
0.1739404;0.2762377;0.5296061;0.4738507
0.1736262;0.2766067;0.5308355;0.4751226
0.173261;0.2767227;0.5320425;0.4763894
0.1728799;0.2768568;0.5331913;0.4776209
0.1726233;0.2769911;0.5343098;0.4788233
0.1726207;0.277136;0.535388;0.4801124
0.1725106;0.2773434;0.5365792;0.481357
0.1724203;0.2772948;0.5378639;0.4825599
0.1720908;0.2776891;0.5390656;0.4837459
0.1717536;0.2783121;0.5402007;0.4849479
0.1714967;0.2789021;0.5413389;0.4862232
0.1713397;0.2795422;0.5423638;0.4874439
0.1712198;0.2802264;0.5433976;0.4886137
0.171188;0.2808454;0.5443979;0.4897733
0.1709307;0.2814885;0.5454844;0.4909877
0.1707571;0.2822272;0.5465861;0.4921961
0.1705293;0.2828054;0.5476582;0.4934285
