dt=50;dt=150;dt=700;dt=2000
0.170095082;0;0;0
0.200474777;0;0;0
0.270382062;0;0;0
0.108925781;0;0;0
0.165586211;0;0;0
0.159560701;0;0;0
0.153849419;0;0;0
0.224927441;0;0;0
0.247612885;0;0;0
0.17865169;0;0;0
0.232446072;0;0;0
0.21290658;0;0;0
0.211308888;0;0;0
0.220449477;0;0;0
0.273888756;0;0;0
0.260282706;0;0;0
0.256509102;0;0;0
0.276728114;0;0;0
0.257777443;0;0;0
0.273696391;0;0;0
0.227235407;0;0;0
0.211415869;0;0;0
0.208623742;0;0;0
0.217748125;0;0;0
0.198061317;0;0;0
0.173991053;0;0;0
0.181943696;0;0;0
0.146706037;0;0;0
0.167573633;0;0;0
0.158665237;0;0;0
0.171850028;0;0;0
0.18672654;0;0;0
0.166550561;0;0;0
0.133531455;0;0;0
0.09739537;0;0;0
0.101507344;0;0;0
0.078229367;0;0;0
0.074108191;0;0;0
0.086295394;0.275809034;0;0
0.077851566;0.295310937;0;0
0.038059673;0.272754584;0;0
0.028801557;0.277893781;0;0
0.060233153;0.288790094;0;0
0.034636173;0.26878258;0;0
0.013851586;0.261042522;0;0
-0.035659953;0.247059711;0;0
-0.033318545;0.254363789;0;0
-0.021368111;0.269010144;0;0
-0.01884878;0.245302912;0;0
-0.008510603;0.246595373;0;0
-0.068920101;0.203274965;0;0
-0.060363558;0.214739826;0;0
-0.108330815;0.200296974;0;0
-0.031220433;0.188110351;0;0
-0.033390334;0.218897608;0;0
-0.027928229;0.18865773;0;0
-0.011720718;0.174523368;0;0
-0.064261772;0.142824084;0;0
-0.043485699;0.160815064;0;0
-0.024879731;0.183033972;0;0
-0.069593106;0.167862132;0;0
-0.057033464;0.180009094;0;0
-0.047731439;0.21292251;0;0
-0.043646848;0.19611556;0;0
-0.075349647;0.161611113;0;0
-0.051292884;0.178914352;0;0
-0.060937532;0.137406466;0;0
-0.078715264;0.134029688;0;0
-0.067857521;0.13203942;0;0
-0.065072182;0.150142632;0;0
-0.036827375;0.192939432;0;0
-0.001037996;0.218985485;0;0
0.033901706;0.269467452;0;0
0.030448357;0.241314107;0;0
0.086345268;0.309698444;0;0
0.086432949;0.308301969;0;0
0.053477112;0.271293131;0;0
0.088437547;0.284251436;0;0
0.063770644;0.276175954;0;0
0.082476404;0.285416954;0;0
0.045023971;0.263544292;0;0
0.034942944;0.246994525;0;0
0.059339852;0.268393072;0;0
0.04858825;0.252373193;0;0
0.077001481;0.292604033;0;0
0.061655701;0.287682203;0;0
0.070166983;0.293721467;0;0
0.047754566;0.288768168;0;0
0.053374661;0.318453731;0;0
0.061943187;0.334227551;0;0
0.076206607;0.331937283;0;0
0.136175102;0.366275696;0;0
0.164740032;0.386863584;0;0
0.190946983;0.418579523;0;0
0.150472758;0.374620843;0;0
0.201996995;0.422353251;0;0
0.213808856;0.424835967;0;0
0.198378848;0.399853643;0;0
0.180951049;0.370429283;0;0
0.180748196;0.386417108;0;0
0.177086988;0.355514052;0;0
0.162634217;0.355298357;0;0
0.152217948;0.337115139;0;0
0.168272047;0.333559133;0;0
0.162859343;0.339060603;0;0
0.144451;0.32253994;0;0
0.119237856;0.289863727;0;0
0.134216409;0.297502146;0;0
0.104282488;0.284984435;0;0
0.113407228;0.283306003;0;0
0.118748512;0.269861197;0;0
0.134770076;0.277164572;0;0
0.125035145;0.276705387;0;0
0.108105006;0.250256952;0;0
0.102451606;0.256602158;0;0
0.089318658;0.244675793;0;0
0.086756451;0.237299497;0;0
0.091236588;0.227200019;0;0
0.06633849;0.186290248;0;0
0.061439476;0.183145995;0;0
