voltage,motion,temperature,sound,voc,illuminace,humidity,timestamp
6.62,264,24.33,60.93,30,538.92,32.14,2021-10-23T12:08:45.162520
6.62,264,24.33,60.93,30,540.48,32.14,2021-10-23T12:08:45.193712
6.62,264,24.33,60.93,30,540.48,32.14,2021-10-23T12:08:45.203065
6.62,264,24.33,60.93,30,540.48,32.14,2021-10-23T12:08:45.216767
6.62,232,24.33,60.93,30,540.48,32.14,2021-10-23T12:08:45.222824
6.62,232,24.33,60.93,30,540.48,32.14,2021-10-23T12:08:45.239241
6.62,232,24.31,60.93,30,540.48,32.14,2021-10-23T12:08:46.045839
6.62,232,24.31,60.93,30,540.48,32.14,2021-10-23T12:08:46.054845
6.63,232,24.31,60.93,30,540.48,32.14,2021-10-23T12:08:46.968299
6.63,232,24.31,59.14,30,540.48,32.14,2021-10-23T12:08:46.994019
6.63,232,24.31,59.14,30,540.48,32.14,2021-10-23T12:08:46.996635
6.63,232,24.31,59.14,30,541.65,32.14,2021-10-23T12:08:47.057322
6.63,232,24.31,59.14,30,541.65,32.14,2021-10-23T12:08:47.068297
6.63,150,24.31,59.14,30,541.65,32.14,2021-10-23T12:08:47.120602
6.63,150,24.31,59.14,30,541.65,32.14,2021-10-23T12:08:47.146920
6.63,150,24.31,59.14,30,541.65,32.14,2021-10-23T12:08:47.155230
6.63,150,24.33,59.14,30,541.65,32.14,2021-10-23T12:08:47.874521
6.63,150,24.33,59.14,30,541.65,32.14,2021-10-23T12:08:47.902483
6.63,150,24.33,51.49,30,541.65,32.14,2021-10-23T12:08:48.004649
6.63,150,24.33,51.49,30,541.65,32.14,2021-10-23T12:08:48.009325
6.63,150,24.33,51.49,30,541.26,32.14,2021-10-23T12:08:48.044602
6.63,150,24.33,51.49,29,541.26,32.14,2021-10-23T12:08:48.066398
6.63,150,24.33,51.49,29,541.26,32.14,2021-10-23T12:08:48.073900
6.63,150,24.33,51.49,29,541.26,32.14,2021-10-23T12:08:48.080542
6.63,167,24.33,51.49,29,541.26,32.14,2021-10-23T12:08:48.235502
6.63,167,24.33,51.49,29,541.26,32.14,2021-10-23T12:08:48.381883
6.83,167,24.33,51.49,29,541.26,32.14,2021-10-23T12:08:48.510577
6.83,167,24.33,51.49,29,541.26,32.14,2021-10-23T12:08:48.532187
6.83,167,24.34,51.49,29,541.26,32.14,2021-10-23T12:08:48.615552
6.83,167,24.34,51.49,29,541.26,32.14,2021-10-23T12:08:48.642745
6.83,167,24.34,53.29,29,541.26,32.14,2021-10-23T12:08:49.065234
6.83,167,24.34,53.29,29,541.26,32.14,2021-10-23T12:08:49.079169
6.83,230,24.34,53.29,29,541.26,32.14,2021-10-23T12:08:49.179746
6.83,230,24.34,53.29,29,541.26,32.14,2021-10-23T12:08:49.194401
6.83,230,24.34,51.03,29,541.26,32.14,2021-10-23T12:08:49.798301
6.83,230,24.34,51.03,29,541.26,32.14,2021-10-23T12:08:49.818710
6.83,230,24.34,51.03,29,540.87,32.14,2021-10-23T12:08:49.847581
6.83,230,24.34,51.03,29,540.87,32.14,2021-10-23T12:08:49.877647
6.83,211,24.34,51.03,29,540.87,32.14,2021-10-23T12:08:49.922027
6.83,211,24.34,51.03,29,540.87,32.14,2021-10-23T12:08:49.932913
6.52,211,24.34,51.03,29,540.87,32.14,2021-10-23T12:08:50.261459
6.52,211,24.34,51.03,29,540.87,32.14,2021-10-23T12:08:50.307221
6.52,211,24.33,51.03,29,540.87,32.14,2021-10-23T12:08:50.375792
6.52,211,24.33,51.03,29,540.87,32.14,2021-10-23T12:08:50.420596
6.52,211,24.33,45.24,29,540.87,32.14,2021-10-23T12:08:50.922586
6.52,211,24.33,45.24,29,540.87,32.14,2021-10-23T12:08:50.927663
6.52,211,24.33,45.24,29,541.65,32.14,2021-10-23T12:08:50.962506
6.52,211,24.33,45.24,26,541.65,32.14,2021-10-23T12:08:50.975353
6.52,211,24.33,45.24,26,541.65,32.14,2021-10-23T12:08:50.984983
6.52,211,24.33,45.24,26,541.65,32.14,2021-10-23T12:08:50.995130
6.52,169,24.33,45.24,26,541.65,32.14,2021-10-23T12:08:51.102475
6.52,169,24.33,45.24,26,541.65,32.14,2021-10-23T12:08:51.153224
6.52,169,24.33,45.07,26,541.65,32.14,2021-10-23T12:08:51.934168
6.52,169,24.33,45.07,26,541.65,32.14,2021-10-23T12:08:52.014256
6.52,169,24.33,45.07,26,542.43,32.14,2021-10-23T12:08:52.022997
